"","id","province","A1","A2","A4A","A5","SE1","SE1A","SE11","SE13","SE22","SE5","E4B","E4H","year","wave","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2386",2386,"江苏省",2,1,58,1,7,12,5,1,2,"11",6,3,2019,1,1,1,58,3,1,5,1,1,3,12,0,"11","0",6,3,1,0
"2387",2387,"江苏省",1,2,67,1,7,12,8,1,2,"2",6,5,2019,1,1,0,67,3,1,8,0,1,3,12,0,"2","1",6,5,1,1
"2388",2388,"江苏省",2,3,56,1,5,9,8,1,2,"8",6,4,2019,1,1,1,56,3,1,8,0,1,2,9,0,"8","0",6,4,1,0
"2389",2389,"江苏省",1,1,76,1,2,4,8,1,2,"11",6,4,2019,1,1,0,76,4,1,8,1,1,0,4,0,"11","0",6,4,1,0
"2390",2390,"江苏省",1,1,47,1,4,8,8,1,4,"2",6,5,2019,1,1,0,47,2,0,8,1,1,1,8,0,"2","1",6,5,1,1
"2391",2391,"江苏省",2,2,40,1,7,12,7,1,2,"8",6,4,2019,1,1,1,40,2,1,7,0,1,3,12,0,"8","0",6,4,1,0
"2392",2392,"江苏省",2,2,43,1,7,12,7,1,2,"10",5,4,2019,1,1,1,43,2,1,7,0,1,3,12,0,"10","0",5,4,1,0
"2393",2393,"江苏省",1,1,62,1,2,5,7,1,2,"11",5,4,2019,1,1,0,62,3,1,7,1,1,0,5,0,"11","0",5,4,1,0
"2394",2394,"江苏省",1,2,59,1,4,7,4,1,2,NA,NA,NA,2019,1,1,0,59,3,1,4,0,1,1,7,0,NA,NA,NA,NA,NA,NA
"2395",2395,"江苏省",1,1,53,1,5,9,9,1,2,"10",6,4,2019,1,1,0,53,3,1,9,1,1,2,9,0,"10","0",6,4,1,0
"2396",2396,"江苏省",1,1,45,1,7,12,8,1,2,"10",6,5,2019,1,1,0,45,2,1,8,1,1,3,12,0,"10","0",6,5,1,1
"2397",2397,"江苏省",1,1,74,1,5,9,8,3,4,"9",6,5,2019,1,1,0,74,4,0,8,1,1,2,9,1,"9","1",6,5,1,1
"2398",2398,"江苏省",2,2,45,1,9,16,8,1,2,"10",6,5,2019,1,1,1,45,2,1,8,0,1,4,16,0,"10","0",6,5,1,1
"2399",2399,"江苏省",2,1,71,1,2,3,6,1,2,"11",6,5,2019,1,1,1,71,4,1,6,1,1,0,3,0,"11","0",6,5,1,1
"2400",2400,"江苏省",1,2,68,1,9,NA,7,3,2,"6",5,4,2019,1,1,0,68,3,1,7,0,1,4,NA,1,"6","1",5,4,1,0
"2401",2401,"江苏省",2,2,23,1,9,16,7,2,1,"6",6,5,2019,1,1,1,23,1,0,7,0,1,4,16,0,"6","1",6,5,1,1
"2402",2402,"江苏省",2,2,42,1,7,12,5,1,2,"10",6,5,2019,1,1,1,42,2,1,5,0,1,3,12,0,"10","0",6,5,1,1
"2403",2403,"江苏省",1,1,59,1,7,12,6,3,2,"6",6,5,2019,1,1,0,59,3,1,6,1,1,3,12,1,"6","1",6,5,1,1
"2404",2404,"江苏省",2,1,57,1,2,4,5,1,2,"11",6,4,2019,1,1,1,57,3,1,5,1,1,0,4,0,"11","0",6,4,1,0
"2405",2405,"江苏省",2,1,78,1,2,5,4,1,2,"11",6,6,2019,1,1,1,78,4,1,4,1,1,0,5,0,"11","0",6,6,1,1
"2406",2406,"江苏省",1,1,65,1,7,12,8,3,2,"7",6,5,2019,1,1,0,65,3,1,8,1,1,3,12,1,"7","1",6,5,1,1
"2407",2407,"江苏省",1,1,39,1,7,12,7,1,2,"10",6,5,2019,1,1,0,39,2,1,7,1,1,3,12,0,"10","0",6,5,1,1
"2408",2408,"江苏省",2,1,64,1,5,9,5,1,2,"11",6,6,2019,1,1,1,64,3,1,5,1,1,2,9,0,"11","0",6,6,1,1
"2409",2409,"江苏省",1,2,57,1,7,12,9,3,2,"6",6,4,2019,1,1,0,57,3,1,9,0,1,3,12,1,"6","1",6,4,1,0
"2410",2410,"江苏省",2,1,31,1,9,14,8,1,2,"11",6,5,2019,1,1,1,31,2,1,8,1,1,4,14,0,"11","0",6,5,1,1
"2411",2411,"江苏省",1,1,34,1,7,12,8,1,2,"10",6,5,2019,1,1,0,34,2,1,8,1,1,3,12,0,"10","0",6,5,1,1
"2412",2412,"江苏省",1,1,73,1,4,4,4,1,2,"11",6,5,2019,1,1,0,73,4,1,4,1,1,1,4,0,"11","0",6,5,1,1
"2413",2413,"江苏省",2,1,55,1,2,3,5,1,2,NA,6,4,2019,1,1,1,55,3,1,5,1,1,0,3,0,NA,NA,6,4,1,0
"2414",2414,"江苏省",2,1,72,1,2,3,NA,1,2,"11",6,5,2019,1,1,1,72,4,1,NA,1,1,0,3,0,"11","0",6,5,1,1
